"SEASON","TEAM_ABB","GF","GA","PWP","QUARTILE","BRACKET"
"2024-2025","FLA",94,56,0.738055462746408,"Q4","1"
"2024-2025","EDM",82,73,0.557869410105368,"Q3","2"
"2024-2025","CAR",44,39,0.560023141452126,"Q4","1"
"2024-2025","DAL",45,60,0.36,"Q1","4"
"2024-2025","TOR",36,42,0.423529411764706,"Q2","3"
"2024-2025","WPG",35,40,0.433628318584071,"Q2","3"
"2024-2025","WSH",25,27,0.461595273264402,"Q3","2"
"2024-2025","VGK",28,35,0.390243902439024,"Q2","3"
"2024-2025","COL",24,21,0.566371681415929,"Q4","1"
"2024-2025","STL",27,21,0.623076923076923,"Q4","1"
"2024-2025","OTT",16,19,0.414910858995138,"Q2","3"
"2024-2025","MIN",19,18,0.527007299270073,"Q3","2"
"2024-2025","LAK",24,27,0.441379310344828,"Q3","2"
"2024-2025","NJD",11,19,0.25103734439834,"Q1","4"
"2024-2025","MTL",12,18,0.307692307692308,"Q1","4"
"2024-2025","TBL",12,19,0.285148514851485,"Q1","4"
